user_id,bucket_start,samples,heart_rate_avg,heart_rate_min,heart_rate_max,steps_sum,respiratory_rate_avg,activity_energy_sum,distance_sum
U11111,2025-09-16 12:15:00,13,80.0,54,111,945,14.6,106.99,0.738
U11111,2025-09-16 12:30:00,11,74.1,53,102,1046,17.3,79.26,0.853
U11111,2025-09-16 12:45:00,13,81.0,56,119,1067,15.9,96.74,0.873
U11111,2025-09-16 13:00:00,13,77.0,52,110,1113,15.5,96.14,0.895
U11111,2025-09-16 13:15:00,15,78.0,46,116,1151,15.5,85.12,0.923
U11111,2025-09-16 13:30:00,14,78.4,50,113,1187,15.8,105.32,0.971
U11111,2025-09-16 13:45:00,11,77.6,57,126,882,14.8,77.63,0.702
U11111,2025-09-16 14:00:00,11,75.1,46,122,773,16.4,98.65,0.636
U11111,2025-09-16 14:15:00,12,79.3,49,115,677,15.7,71.28,0.516
U11111,2025-09-16 14:30:00,14,75.9,51,114,1019,16.4,113.88,0.821
U11111,2025-09-16 14:45:00,14,69.8,46,105,1045,16.3,97.70,0.819
U11111,2025-09-16 15:00:00,13,77.6,49,116,922,15.9,120.92,0.767
U11111,2025-09-16 15:15:00,14,76.0,46,108,617,15.8,108.69,0.513
U11111,2025-09-16 15:30:00,13,79.5,54,115,1332,15.9,79.83,1.084
U11111,2025-09-16 15:45:00,15,76.8,51,113,1271,15.7,93.76,1.057
U11111,2025-09-16 16:00:00,13,77.9,48,123,1033,15.9,93.91,0.851
U11111,2025-09-16 16:15:00,13,77.1,47,118,787,17.3,102.95,0.633
U11111,2025-09-16 16:30:00,12,77.7,48,121,654,16.1,53.88,0.540
U11111,2025-09-16 16:45:00,14,76.9,45,115,1053,15.8,106.48,0.838
U11111,2025-09-16 17:00:00,14,98.7,74,139,864,16.1,79.58,0.679
U11111,2025-09-16 17:15:00,10,97.8,74,130,732,15.8,44.51,0.592
U11111,2025-09-16 17:30:00,14,101.0,76,136,1002,15.8,110.39,0.800
U11111,2025-09-16 17:45:00,12,95.3,58,130,837,14.7,94.19,0.665
U11111,2025-09-16 18:00:00,12,95.3,69,138,860,16.4,79.60,0.723
U11111,2025-09-16 18:15:00,12,97.6,65,131,1036,15.7,97.24,0.846
U11111,2025-09-16 18:30:00,12,85.7,60,117,1075,15.7,101.53,0.881
U11111,2025-09-16 18:45:00,13,93.9,65,132,792,16.8,100.01,0.627
U11111,2025-09-16 19:00:00,11,94.0,57,132,761,15.7,93.36,0.620
U11111,2025-09-16 19:15:00,13,91.2,61,130,967,16.8,98.59,0.769
U11111,2025-09-16 19:30:00,10,88.4,61,134,674,15.8,91.95,0.558
U11111,2025-09-16 19:45:00,14,91.8,56,136,972,15.6,110.69,0.806
U11111,2025-09-16 20:00:00,13,80.7,58,115,1314,16.1,141.92,1.043
U11111,2025-09-16 20:15:00,13,79.9,46,121,953,16.5,125.61,0.779
U11111,2025-09-16 20:30:00,14,78.6,54,116,1086,16.2,60.22,0.880
U11111,2025-09-16 20:45:00,4,74.3,57,103,166,16.2,28.28,0.142
U12345,2025-09-15 20:45:00,9,77.8,50,114,698,14.9,79.89,0.526
U12345,2025-09-15 21:00:00,11,80.5,55,115,833,16.7,108.46,0.667
U12345,2025-09-15 21:15:00,14,77.0,45,121,1137,15.3,100.32,0.920
U12345,2025-09-15 21:30:00,13,78.2,60,110,860,15.9,87.24,0.692
U12345,2025-09-15 21:45:00,15,81.5,45,117,1447,16.1,123.76,1.176
U12345,2025-09-15 22:00:00,14,63.5,45,101,58,15.7,100.40,0.046
U12345,2025-09-15 22:15:00,13,67.2,45,103,66,16.8,76.42,0.055
U12345,2025-09-15 22:30:00,11,64.3,45,91,57,14.7,77.36,0.046
U12345,2025-09-15 22:45:00,15,64.1,45,100,79,15.6,97.28,0.064
U12345,2025-09-15 23:00:00,13,64.5,45,98,65,15.7,81.57,0.054
U12345,2025-09-15 23:15:00,13,65.8,45,103,56,15.6,85.56,0.045
U12345,2025-09-15 23:30:00,15,63.5,45,96,90,15.4,94.99,0.072
U12345,2025-09-15 23:45:00,13,66.1,45,101,60,17.4,97.34,0.048
U12345,2025-09-16 00:00:00,13,63.2,45,102,78,16.7,111.20,0.060
U12345,2025-09-16 00:15:00,14,63.1,45,95,68,17.1,103.08,0.056
U12345,2025-09-16 00:30:00,13,64.2,45,98,71,16.8,88.98,0.054
U12345,2025-09-16 00:45:00,14,67.1,45,103,79,16.5,123.66,0.065
U12345,2025-09-16 01:00:00,15,68.7,45,108,82,16.6,93.41,0.065
U12345,2025-09-16 01:15:00,12,71.0,49,102,73,17.6,96.91,0.060
U12345,2025-09-16 01:30:00,14,65.4,45,96,74,17.2,113.36,0.060
U12345,2025-09-16 01:45:00,13,62.9,45,107,71,16.9,99.01,0.056
U12345,2025-09-16 02:00:00,12,61.4,45,99,38,15.8,80.35,0.031
U12345,2025-09-16 02:15:00,11,65.7,45,110,67,16.5,77.49,0.054
U12345,2025-09-16 02:30:00,12,65.9,45,104,53,15.1,92.49,0.043
U12345,2025-09-16 02:45:00,12,68.8,45,101,53,15.3,60.38,0.044
U12345,2025-09-16 03:00:00,13,63.9,45,100,60,16.4,123.18,0.045
U12345,2025-09-16 03:15:00,11,61.3,45,101,51,16.7,87.08,0.043
U12345,2025-09-16 03:30:00,12,65.9,45,106,52,16.0,88.20,0.043
U12345,2025-09-16 03:45:00,11,66.0,45,103,61,16.7,74.29,0.049
U12345,2025-09-16 04:00:00,12,69.5,45,111,46,16.4,96.82,0.036
U12345,2025-09-16 04:15:00,14,65.6,45,97,74,15.3,115.22,0.061
U12345,2025-09-16 04:30:00,12,64.7,45,97,73,15.7,68.61,0.057
U12345,2025-09-16 04:45:00,14,62.6,45,102,67,16.4,108.47,0.052
U12345,2025-09-16 05:00:00,14,64.4,47,95,86,16.4,81.77,0.066
U12345,2025-09-16 05:15:00,14,64.3,45,103,47,16.2,90.12,0.039
U12345,2025-09-16 05:30:00,12,65.2,45,96,57,15.3,105.93,0.046
U12345,2025-09-16 05:45:00,10,61.1,45,93,47,16.8,91.07,0.037
U12345,2025-09-16 06:00:00,11,64.8,45,100,54,16.1,101.88,0.045
U12345,2025-09-16 06:15:00,11,64.5,45,104,58,16.2,108.56,0.046
U12345,2025-09-16 06:30:00,13,64.8,45,102,82,16.5,99.92,0.065
U12345,2025-09-16 06:45:00,12,66.8,45,102,70,17.8,66.56,0.056
U12345,2025-09-16 07:00:00,13,101.4,77,136,1188,14.9,70.02,0.943
U12345,2025-09-16 07:15:00,12,96.7,70,136,877,15.5,89.89,0.685
U12345,2025-09-16 07:30:00,12,87.8,59,128,961,16.4,104.13,0.778
U12345,2025-09-16 07:45:00,12,96.8,57,134,851,16.3,61.46,0.663
U12345,2025-09-16 08:00:00,10,94.4,60,124,845,15.5,45.41,0.681
U12345,2025-09-16 08:15:00,14,96.6,65,131,1291,14.6,109.90,1.069
U12345,2025-09-16 08:30:00,12,95.3,56,140,1331,16.9,126.51,1.050
U12345,2025-09-16 08:45:00,13,90.7,67,138,963,16.9,90.07,0.771
U12345,2025-09-16 09:00:00,12,95.7,62,147,806,15.7,69.35,0.654
U12345,2025-09-16 09:15:00,12,96.8,69,133,1030,16.2,91.50,0.835
U12345,2025-09-16 09:30:00,15,99.5,65,144,1174,16.6,148.24,0.938
U12345,2025-09-16 09:45:00,10,88.4,57,136,777,15.6,66.80,0.642
U12345,2025-09-16 10:00:00,14,78.5,45,115,1165,15.6,102.28,0.901
U12345,2025-09-16 10:15:00,11,78.2,51,107,1018,15.8,73.29,0.820
U12345,2025-09-16 10:30:00,12,75.8,52,107,1125,15.5,74.11,0.920
U12345,2025-09-16 10:45:00,14,76.1,53,108,965,16.0,85.85,0.781
U12345,2025-09-16 11:00:00,14,72.0,45,104,979,15.0,95.40,0.798
U12345,2025-09-16 11:15:00,11,77.3,51,113,1032,16.1,99.27,0.825
U12345,2025-09-16 11:30:00,14,76.4,49,117,948,16.3,125.93,0.760
U12345,2025-09-16 11:45:00,12,77.6,47,120,699,15.7,89.34,0.573
U12345,2025-09-16 12:00:00,11,82.4,62,120,776,14.5,61.79,0.621
U12345,2025-09-16 12:15:00,11,74.1,50,106,913,15.6,75.32,0.764
U12345,2025-09-16 12:30:00,15,80.3,48,117,842,16.0,123.54,0.682
U12345,2025-09-16 12:45:00,13,74.8,47,112,1365,14.9,107.60,1.070
U12345,2025-09-16 13:00:00,12,78.9,48,113,1027,16.1,84.49,0.835
U12345,2025-09-16 13:15:00,11,80.2,55,123,657,15.7,94.44,0.537
U12345,2025-09-16 13:30:00,13,75.8,49,112,937,15.4,85.93,0.742
U12345,2025-09-16 13:45:00,15,75.5,54,113,992,16.2,142.24,0.776
U12345,2025-09-16 14:00:00,13,77.2,54,109,873,17.0,109.14,0.717
U12345,2025-09-16 14:15:00,13,75.2,45,121,758,15.6,95.67,0.609
U12345,2025-09-16 14:30:00,13,74.8,45,112,852,15.3,114.82,0.684
U12345,2025-09-16 14:45:00,14,80.0,48,124,911,16.2,110.18,0.715
U12345,2025-09-16 15:00:00,11,78.4,52,118,719,17.1,99.99,0.562
U12345,2025-09-16 15:15:00,12,74.9,53,123,934,16.0,126.82,0.732
U12345,2025-09-16 15:30:00,14,79.7,47,114,1137,15.6,117.14,0.908
U12345,2025-09-16 15:45:00,13,78.6,50,110,892,17.5,106.22,0.725
U12345,2025-09-16 16:00:00,11,75.6,46,111,812,15.6,82.07,0.628
U12345,2025-09-16 16:15:00,14,77.4,51,119,768,16.4,123.67,0.635
U12345,2025-09-16 16:30:00,11,77.0,45,115,1004,15.9,90.60,0.815
U12345,2025-09-16 16:45:00,14,75.6,50,106,906,14.8,92.43,0.740
U12345,2025-09-16 17:00:00,13,93.5,60,144,1047,15.6,66.54,0.836
U12345,2025-09-16 17:15:00,13,92.9,70,131,915,16.0,102.52,0.708
U12345,2025-09-16 17:30:00,10,93.1,67,132,839,15.2,66.42,0.670
U12345,2025-09-16 17:45:00,13,99.3,69,130,940,16.9,86.52,0.763
U12345,2025-09-16 18:00:00,13,94.2,65,136,1052,16.4,96.04,0.852
U12345,2025-09-16 18:15:00,12,99.3,72,135,976,15.7,73.24,0.794
U12345,2025-09-16 18:30:00,15,98.7,68,140,1033,15.6,122.56,0.835
U12345,2025-09-16 18:45:00,10,97.5,62,134,1036,16.2,82.22,0.835
U12345,2025-09-16 19:00:00,13,90.6,67,136,1131,17.1,114.23,0.906
U12345,2025-09-16 19:15:00,11,92.3,69,130,906,15.9,67.85,0.776
U12345,2025-09-16 19:30:00,15,96.6,59,143,1071,16.1,117.05,0.841
U12345,2025-09-16 19:45:00,12,98.3,66,137,883,16.4,93.29,0.718
U12345,2025-09-16 20:00:00,13,73.8,45,121,867,15.4,90.96,0.705
U12345,2025-09-16 20:15:00,12,80.1,52,121,931,16.2,99.15,0.737
U12345,2025-09-16 20:30:00,13,78.2,49,114,956,14.8,96.86,0.753
U12345,2025-09-16 20:45:00,4,77.5,53,110,300,18.5,31.11,0.224
U22222,2025-09-15 20:45:00,10,71.4,45,102,881,15.9,80.44,0.703
U22222,2025-09-15 21:00:00,14,77.9,51,111,1079,15.4,108.88,0.853
U22222,2025-09-15 21:15:00,13,83.0,45,120,1006,15.6,109.12,0.791
U22222,2025-09-15 21:30:00,13,78.9,48,119,1125,16.6,97.67,0.884
U22222,2025-09-15 21:45:00,14,75.3,45,118,1245,15.9,100.17,1.032
U22222,2025-09-15 22:00:00,14,65.0,45,100,60,16.3,107.46,0.049
U22222,2025-09-15 22:15:00,13,64.2,45,100,70,16.5,87.01,0.056
U22222,2025-09-15 22:30:00,12,67.4,45,106,48,16.1,84.11,0.041
U22222,2025-09-15 22:45:00,11,68.8,45,107,50,15.9,67.36,0.039
U22222,2025-09-15 23:00:00,15,63.9,45,102,85,15.6,102.51,0.068
U22222,2025-09-15 23:15:00,15,69.9,45,110,76,16.6,148.63,0.062
U22222,2025-09-15 23:30:00,15,68.4,48,101,61,15.8,115.74,0.049
U22222,2025-09-15 23:45:00,11,62.6,45,95,49,16.8,117.49,0.039
U22222,2025-09-16 00:00:00,11,65.7,45,107,64,16.6,105.70,0.050
U22222,2025-09-16 00:15:00,10,62.6,45,99,54,16.7,84.56,0.043
U22222,2025-09-16 00:30:00,12,65.8,45,97,82,15.3,88.04,0.067
U22222,2025-09-16 00:45:00,14,62.3,45,93,80,15.7,85.88,0.065
U22222,2025-09-16 01:00:00,14,65.7,45,103,69,17.4,70.71,0.054
U22222,2025-09-16 01:15:00,14,65.3,45,102,50,16.0,90.47,0.043
U22222,2025-09-16 01:30:00,14,65.1,45,108,75,15.4,94.90,0.059
U22222,2025-09-16 01:45:00,12,65.5,45,95,63,16.6,66.82,0.048
U22222,2025-09-16 02:00:00,14,65.7,45,105,82,15.5,103.29,0.066
U22222,2025-09-16 02:15:00,13,64.7,45,106,70,16.8,112.39,0.057
U22222,2025-09-16 02:30:00,12,62.3,45,103,61,15.6,104.13,0.046
U22222,2025-09-16 02:45:00,13,65.5,45,99,74,15.7,88.29,0.060
U22222,2025-09-16 03:00:00,13,65.4,45,94,46,16.4,91.08,0.039
U22222,2025-09-16 03:15:00,12,61.8,45,96,60,16.9,76.01,0.048
U22222,2025-09-16 03:30:00,11,64.7,45,94,33,14.9,75.52,0.028
U22222,2025-09-16 03:45:00,14,69.5,51,106,84,16.0,102.68,0.067
U22222,2025-09-16 04:00:00,13,67.8,45,104,62,16.9,101.33,0.049
U22222,2025-09-16 04:15:00,14,66.6,45,98,72,15.2,98.31,0.058
U22222,2025-09-16 04:30:00,12,63.2,45,96,47,15.5,81.00,0.038
U22222,2025-09-16 04:45:00,12,65.6,45,99,64,14.9,83.78,0.054
U22222,2025-09-16 05:00:00,13,62.7,45,99,71,15.5,80.07,0.056
U22222,2025-09-16 05:15:00,15,66.1,45,99,75,15.6,102.31,0.060
U22222,2025-09-16 05:30:00,15,66.4,45,106,94,16.7,126.78,0.076
U22222,2025-09-16 05:45:00,15,63.2,45,103,82,15.6,117.37,0.067
U22222,2025-09-16 06:00:00,15,65.5,45,101,71,15.6,126.55,0.060
U22222,2025-09-16 06:15:00,13,66.7,45,99,61,15.9,86.33,0.046
U22222,2025-09-16 06:30:00,11,65.4,45,95,53,17.0,103.43,0.043
U22222,2025-09-16 06:45:00,13,63.2,45,102,75,16.1,90.48,0.061
U22222,2025-09-16 07:00:00,13,93.2,59,138,960,16.2,128.11,0.756
U22222,2025-09-16 07:15:00,14,93.6,69,135,1098,17.0,71.77,0.899
U22222,2025-09-16 07:30:00,15,98.4,62,142,1181,15.2,105.72,0.981
U22222,2025-09-16 07:45:00,12,96.7,66,136,809,16.8,86.18,0.641
U22222,2025-09-16 08:00:00,13,94.2,59,138,943,15.6,74.94,0.802
U22222,2025-09-16 08:15:00,13,100.1,73,133,1025,17.0,93.68,0.839
U22222,2025-09-16 08:30:00,13,97.8,58,143,1117,15.2,103.75,0.875
U22222,2025-09-16 08:45:00,12,91.3,64,125,758,15.8,73.38,0.602
U22222,2025-09-16 09:00:00,15,93.1,60,139,878,16.6,115.89,0.708
U22222,2025-09-16 09:15:00,13,97.2,65,130,983,15.6,93.81,0.768
U22222,2025-09-16 09:30:00,12,92.4,61,123,966,16.1,108.46,0.762
U22222,2025-09-16 09:45:00,13,99.6,57,141,1204,15.7,88.54,0.964
U22222,2025-09-16 10:00:00,14,73.3,45,112,821,17.0,64.08,0.675
U22222,2025-09-16 10:15:00,12,73.4,45,109,918,15.3,87.02,0.745
U22222,2025-09-16 10:30:00,12,75.7,45,121,1023,16.1,81.99,0.812
U22222,2025-09-16 10:45:00,14,78.7,54,116,1071,15.9,106.55,0.852
U22222,2025-09-16 11:00:00,13,78.8,53,118,926,16.9,99.35,0.724
U22222,2025-09-16 11:15:00,13,79.1,47,115,1069,16.8,118.52,0.864
U22222,2025-09-16 11:30:00,12,75.5,50,109,735,16.1,76.44,0.610
U22222,2025-09-16 11:45:00,13,76.2,46,116,845,15.5,81.46,0.658
U22222,2025-09-16 12:00:00,13,75.5,47,114,959,17.2,97.21,0.779
U22222,2025-09-16 12:15:00,15,79.3,49,121,1097,14.8,120.80,0.872
U22222,2025-09-16 12:30:00,14,78.8,52,124,1096,16.5,118.08,0.902
U22222,2025-09-16 12:45:00,12,81.6,57,126,757,16.1,59.58,0.593
U22222,2025-09-16 13:00:00,14,76.9,45,111,832,14.7,115.00,0.678
U22222,2025-09-16 13:15:00,14,79.2,45,118,1132,15.9,123.03,0.890
U22222,2025-09-16 13:30:00,14,81.9,45,122,661,16.1,83.76,0.521
U22222,2025-09-16 13:45:00,14,74.4,50,118,1140,15.3,108.64,0.925
U22222,2025-09-16 14:00:00,12,77.8,48,115,967,16.5,77.89,0.756
U22222,2025-09-16 14:15:00,14,78.7,45,116,994,16.4,122.66,0.806
U22222,2025-09-16 14:30:00,12,78.6,58,115,807,16.0,92.46,0.657
U22222,2025-09-16 14:45:00,12,78.4,48,115,789,14.7,69.70,0.617
U22222,2025-09-16 15:00:00,14,84.4,60,127,778,15.7,87.61,0.629
U22222,2025-09-16 15:15:00,12,80.4,45,112,821,17.3,79.20,0.682
U22222,2025-09-16 15:30:00,13,80.6,53,122,898,16.5,116.00,0.705
U22222,2025-09-16 15:45:00,12,78.6,55,119,807,16.1,67.24,0.636
U22222,2025-09-16 16:00:00,13,71.6,45,105,996,15.0,99.17,0.810
U22222,2025-09-16 16:15:00,14,78.7,55,115,1120,15.9,97.57,0.937
U22222,2025-09-16 16:30:00,13,83.7,56,124,1039,15.6,92.33,0.841
U22222,2025-09-16 16:45:00,13,78.8,45,111,1057,15.5,82.32,0.879
U22222,2025-09-16 17:00:00,12,95.3,64,136,581,16.8,84.37,0.456
U22222,2025-09-16 17:15:00,13,94.8,64,138,951,15.7,104.99,0.746
U22222,2025-09-16 17:30:00,14,91.1,59,129,1275,16.4,92.36,1.025
U22222,2025-09-16 17:45:00,14,94.3,70,135,1034,15.7,104.80,0.863
U22222,2025-09-16 18:00:00,11,100.0,73,131,952,14.3,85.22,0.764
U22222,2025-09-16 18:15:00,10,95.2,67,129,787,15.8,73.98,0.631
U22222,2025-09-16 18:30:00,13,89.7,68,122,794,15.5,83.88,0.633
U22222,2025-09-16 18:45:00,14,96.9,65,140,1055,16.0,96.58,0.833
U22222,2025-09-16 19:00:00,12,91.8,66,131,941,16.7,77.89,0.773
U22222,2025-09-16 19:15:00,13,94.3,61,147,1053,15.9,118.63,0.846
U22222,2025-09-16 19:30:00,14,96.6,65,130,1201,16.1,93.69,0.962
U22222,2025-09-16 19:45:00,14,92.0,60,130,1176,15.2,88.13,0.943
U22222,2025-09-16 20:00:00,14,75.1,45,111,1004,17.3,143.64,0.796
U22222,2025-09-16 20:15:00,15,75.6,45,121,1317,16.0,119.90,1.078
U22222,2025-09-16 20:30:00,12,80.8,53,119,724,17.6,84.83,0.596
U22222,2025-09-16 20:45:00,4,73.3,52,103,197,17.6,33.58,0.142
U33333,2025-09-15 20:45:00,10,75.3,45,110,855,15.3,65.99,0.706
U33333,2025-09-15 21:00:00,11,76.5,47,109,553,15.6,82.86,0.440
U33333,2025-09-15 21:15:00,14,73.7,45,106,1156,17.0,102.41,0.912
U33333,2025-09-15 21:30:00,15,75.7,45,112,1303,16.2,118.96,1.040
U33333,2025-09-15 21:45:00,13,74.9,49,111,884,16.9,126.41,0.688
U33333,2025-09-15 22:00:00,14,62.7,45,103,86,15.8,97.58,0.070
U33333,2025-09-15 22:15:00,13,65.2,45,100,58,14.5,86.02,0.048
U33333,2025-09-15 22:30:00,14,63.1,45,101,61,14.8,110.28,0.049
U33333,2025-09-15 22:45:00,11,66.4,45,107,51,16.5,91.84,0.040
U33333,2025-09-15 23:00:00,13,67.6,45,101,55,17.0,65.04,0.043
U33333,2025-09-15 23:15:00,12,63.1,45,104,53,16.6,77.39,0.043
U33333,2025-09-15 23:30:00,14,63.3,45,99,70,15.8,116.26,0.058
U33333,2025-09-15 23:45:00,13,64.2,45,108,33,16.6,100.33,0.030
U33333,2025-09-16 00:00:00,15,64.3,45,97,83,15.9,109.05,0.068
U33333,2025-09-16 00:15:00,14,65.7,45,96,79,16.4,107.32,0.063
U33333,2025-09-16 00:30:00,11,68.9,45,103,75,16.3,38.87,0.061
U33333,2025-09-16 00:45:00,11,66.6,45,103,71,15.3,72.22,0.059
U33333,2025-09-16 01:00:00,14,67.7,48,104,87,16.3,108.79,0.069
U33333,2025-09-16 01:15:00,13,67.8,45,96,57,16.5,124.13,0.047
U33333,2025-09-16 01:30:00,14,67.3,45,109,78,16.1,85.68,0.063
U33333,2025-09-16 01:45:00,12,65.6,45,110,30,16.9,76.86,0.024
U33333,2025-09-16 02:00:00,11,65.8,45,105,74,16.5,91.58,0.057
U33333,2025-09-16 02:15:00,11,68.3,45,104,58,15.5,76.79,0.047
U33333,2025-09-16 02:30:00,14,65.8,45,109,87,15.9,84.95,0.070
U33333,2025-09-16 02:45:00,13,65.8,45,104,82,16.4,93.37,0.064
U33333,2025-09-16 03:00:00,15,64.1,45,99,83,15.8,97.76,0.065
U33333,2025-09-16 03:15:00,11,65.5,45,104,61,15.0,75.96,0.046
U33333,2025-09-16 03:30:00,11,65.3,45,99,43,16.2,80.16,0.032
U33333,2025-09-16 03:45:00,13,68.9,45,109,56,15.0,79.17,0.046
U33333,2025-09-16 04:00:00,14,68.1,45,99,57,15.2,95.50,0.047
U33333,2025-09-16 04:15:00,14,66.8,45,101,60,15.9,129.26,0.048
U33333,2025-09-16 04:30:00,14,67.5,45,102,67,17.1,92.00,0.055
U33333,2025-09-16 04:45:00,14,65.8,45,99,62,15.6,108.37,0.050
U33333,2025-09-16 05:00:00,12,64.5,45,97,53,16.1,90.55,0.041
U33333,2025-09-16 05:15:00,15,65.3,45,107,76,15.7,97.62,0.061
U33333,2025-09-16 05:30:00,15,63.6,45,99,63,15.7,116.97,0.050
U33333,2025-09-16 05:45:00,13,64.8,45,108,68,14.1,97.46,0.055
U33333,2025-09-16 06:00:00,14,62.9,45,96,73,16.2,104.04,0.061
U33333,2025-09-16 06:15:00,13,64.4,45,100,50,14.3,60.11,0.039
U33333,2025-09-16 06:30:00,11,65.1,45,105,58,16.4,96.44,0.048
U33333,2025-09-16 06:45:00,14,65.6,45,97,82,15.9,95.41,0.062
U33333,2025-09-16 07:00:00,12,95.8,64,138,545,16.5,104.17,0.425
U33333,2025-09-16 07:15:00,12,92.0,56,135,1019,15.7,77.50,0.857
U33333,2025-09-16 07:30:00,10,96.9,64,146,810,16.4,89.98,0.650
U33333,2025-09-16 07:45:00,12,91.1,64,125,836,15.9,80.05,0.674
